MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  14  22  28.8  83.9  50.07
08  06  2019  14  14  23  28.8  83.9  49.87
08  06  2019  14  14  24  28.8  83.9  49.81
08  06  2019  14  14  25  28.8  83.9  50.01
08  06  2019  14  14  26  28.8  83.9  50.18
08  06  2019  14  14  27  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  50.03
08  06  2019  14  14  28  28.8  83.9  49.91
08  06  2019  14  14  29  28.8  83.9  49.89
08  06  2019  14  14  30  28.8  83.9  49.63
08  06  2019  14  14  31  28.8  83.9  49.45
08  06  2019  14  14  32  28.8  83.9  49.29
08  06  2019  14  14  33  28.8  83.9  49.19
08  06  2019  14  14  34  28.8  83.9  49.1
08  06  2019  14  14  35  28.8  83.9  49.07
08  06  2019  14  14  36  28.8  83.9  49.1
08  06  2019  14  14  37  28.8  83.9  49.08
08  06  2019  14  14  38  28.8  83.9  49.21
08  06  2019  14  14  39  28.8  83.9  49.25
08  06  2019  14  14  40  28.8  83.9  49.22
08  06  2019  14  14  41  28.8  83.9  49.2
08  06  2019  14  14  42  28.8  83.9  49.42
08  06  2019  14  14  43  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.58
08  06  2019  14  14  44  28.8  83.9  49.53
08  06  2019  14  14  45  28.8  83.9  49.47
08  06  2019  14  14  47  28.8  83.9  49.48
08  06  2019  14  14  48  28.8  83.9  49.38
08  06  2019  14  14  49  28.8  83.9  49.24
08  06  2019  14  14  50  28.8  83.9  49.03
08  06  2019  14  14  51  28.8  83.9  48.93
08  06  2019  14  14  52  28.8  83.9  48.87
08  06  2019  14  14  53  28.8  83.9  48.78
08  06  2019  14  14  54  28.8  83.9  48.79
08  06  2019  14  14  55  28.8  83.9  48.72
08  06  2019  14  14  56  28.8  83.9  48.61
08  06  2019  14  14  57  28.8  83.9  48.21
08  06  2019  14  14  58  28.8  83.8  48.27
08  06  2019  14  14  59  28.8  83.8  48.15
08  06  2019  14  15  00  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.18
08  06  2019  14  15  01  28.8  83.8  48.21
08  06  2019  14  15  02  28.8  83.9  48.36
08  06  2019  14  15  03  28.8  83.9  48.22
08  06  2019  14  15  04  28.8  83.9  48.26
08  06  2019  14  15  05  28.8  83.9  48.18
08  06  2019  14  15  06  28.8  83.8  48.08
08  06  2019  14  15  07  28.8  83.9  48.04
08  06  2019  14  15  08  28.8  83.9  48.22
08  06  2019  14  15  09  28.8  83.9  48.33
08  06  2019  14  15  10  28.8  83.8  48.24
08  06  2019  14  15  11  28.8  83.8  48.64
08  06  2019  14  15  12  28.8  83.8  48.64
08  06  2019  14  15  13  28.8  83.8  48.85
08  06  2019  14  15  14  28.8  83.8  48.89
08  06  2019  14  15  15  28.8  83.8  48.89
08  06  2019  14  15  16  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.65
08  06  2019  14  15  17  28.8  83.8  48.56
08  06  2019  14  15  18  28.8  83.8  48.68
08  06  2019  14  15  19  28.8  83.8  48.45
08  06  2019  14  15  20  28.8  83.8  48.52
08  06  2019  14  15  21  28.8  83.8  48.66
08  06  2019  14  15  22  28.8  83.8  48.8
08  06  2019  14  15  23  28.8  83.8  48.8
08  06  2019  14  15  24  28.8  83.8  48.78
08  06  2019  14  15  25  28.8  83.8  48.68
08  06  2019  14  15  26  28.8  83.8  48.76
08  06  2019  14  15  28  28.8  83.8  48.82
08  06  2019  14  15  29  28.8  83.8  48.87
08  06  2019  14  15  30  28.8  83.8  48.79
08  06  2019  14  15  31  28.8  83.8  48.89
08  06  2019  14  15  32  28.8  83.8  49.08
08  06  2019  14  15  33  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
